game_id,utc_date,utc_time,time_control,termination,eco,opening_name,num_moves,white_elo,black_elo,elo_diff,result,winner
WBUBfWck,2025.12.01,00:00:14,600+0,Normal,A00,Ware Opening,17,726,787,-61,0-1,black
nXafeSF8,2025.12.01,00:00:14,600+0,Normal,D00,Queen's Pawn Game,57,816,793,23,1-0,white
JdJxgg7t,2025.12.01,00:00:14,600+0,Normal,C30,King's Gambit,49,1539,1539,0,1-0,white
MQYARpxn,2025.12.01,00:00:14,600+0,Normal,C42,Petrov's Defense: Damiano Variation,117,683,560,123,1-0,white
sUNemc7p,2025.12.01,00:00:14,600+0,Normal,D02,"Queen's Pawn Game: London System, with e6",97,1762,1738,24,1-0,white
6Nybc75z,2025.12.01,00:00:14,600+0,Normal,A40,Queen's Pawn Game: Modern Defense,94,1166,1136,30,1-0,white
fVsEgDtA,2025.12.01,00:00:14,600+0,Normal,C41,Philidor Defense,36,1739,1760,-21,0-1,black
EDxIejfP,2025.12.01,00:00:14,600+0,Normal,A40,Queen's Pawn Game: Modern Defense,86,1632,1616,16,0-1,black
LJaBQQ14,2025.12.01,00:00:14,600+0,Normal,B10,Caro-Kann Defense,37,1981,1971,10,1-0,white
4uApMpnX,2025.12.01,00:00:14,600+0,Normal,D32,Queen's Gambit Declined: Tarrasch Defense,51,1367,1313,54,1-0,white
XUQUJZT1,2025.12.01,00:00:14,600+0,Normal,B00,St. George Defense,37,1505,1595,-90,1-0,white
X4fssXJm,2025.12.01,00:00:20,900+0,Normal,B00,Pirc Defense,52,1534,1404,130,1-0,white
SVd8eyTK,2025.12.01,00:00:21,600+0,Time forfeit,B03,"Alekhine Defense: Four Pawns Attack, Trifunovic Variation",88,2046,2101,-55,0-1,black
ytEJ4VkM,2025.12.01,00:00:21,600+0,Normal,C43,Petrov's Defense: Modern Attack,52,1468,1477,-9,0-1,black
5BwKSXYF,2025.12.01,00:00:21,600+0,Normal,B10,Caro-Kann Defense: Hillbilly Attack,45,1339,1326,13,1-0,white
d656qLoi,2025.12.01,00:00:21,600+0,Normal,A03,Bird Opening: Dutch Variation,37,1261,1250,11,1-0,white
8L9tuF2d,2025.12.01,00:00:21,600+0,Normal,A05,Zukertort Opening: Quiet System,97,1661,1700,-39,1/2-1/2,draw
